评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件
非常好，不错，有指纹解锁，质感很好,5,已购 黑色 12GB+256GB,j***6,156,非常好不错有指纹解锁质感很好,非常 不错 指纹 解锁 质感,商品3.csv
手感很好，这个价格我觉得这性能无敌了，不愧是小米,5,已购 黑色 12GB+256GB,j***t,157,手感很好这个价格我觉得这性能无敌了不愧是小米,手感 这个 价格 觉得 性能 无敌 不愧 小米,商品3.csv
手机用起来非常丝滑，设计感也很好,5,已购 黑色 12GB+256GB,j***k,158,手机用起来非常丝滑设计感也很好,手机 起来 非常 丝滑 设计,商品3.csv
手机很不错 拍照很清晰  运行速度也很快 推荐购买,5,已购 黑色 12GB+256GB,WoJoson,159,手机很不错 拍照很清晰  运行速度也很快 推荐购买,手机 不错 拍照 清晰 运行 速度 很快 推荐 购买,商品3.csv
手机很好儿子喜欢 就是刷视频快进时觉得掉帧,5,已购 白色 12GB+256GB,j***5,160,手机很好儿子喜欢 就是刷视频快进时觉得掉帧,手机 儿子 喜欢 就是 视频 进时 觉得,商品3.csv
非常的丝滑，拍照非常好看，而且手感很好,5,已购 黑色 12GB+256GB,j***t,161,非常的丝滑拍照非常好看而且手感很好,非常 拍照 非常 好看 而且 手感,商品3.csv
反应灵敏，通话声音清晰，电池也很耐用，值得入手！,5,已购 白色 12GB+256GB,j***o,162,反应灵敏通话声音清晰电池也很耐用值得入手,反应 灵敏 通话 声音 清晰 电池 耐用 值得 入手,商品3.csv
手机非常满意，质感很好，用起来也很快，给满分好评，,5,已购 白色 12GB+256GB,u_w945dctadqa7,163,手机非常满意质感很好用起来也很快给满分好评,手机 非常 满意 质感 起来 很快 满分 好评,商品3.csv
手机反应灵敏，拍照清晰，电池也很耐用，喜欢！,5,已购 白色 12GB+256GB,男***1,164,手机反应灵敏拍照清晰电池也很耐用喜欢,手机 反应 灵敏 拍照 清晰 电池 耐用 喜欢,商品3.csv
发货很快，质量很好。拿在手上很舒服，开机速度很快，画面流畅，不卡顿，非常满意,5,已购 黑色 12GB+256GB,180jdbellcmchx,165,发货很快质量很好拿在手上很舒服开机速度很快画面流畅不卡顿非常满意,发货 很快 质量 拿在手上 舒服 开机 速度 很快 画面 流畅 不卡顿 非常 满意,商品3.csv
运行速度很快呀，分辨率也高，性价比高。,5,已购 白色 12GB+256GB,夜孤儿,166,运行速度很快呀分辨率也高性价比高,运行 速度 很快 分辨率 高性价比,商品3.csv
产品质量很好，上网速度很快，一点也不卡顿。拿着也很舒服，很满意,5,已购 黑色 12GB+256GB,181_zvtDKACoBMZc,167,产品质量很好上网速度很快一点也不卡顿拿着也很舒服很满意,产品质量 上网 速度 很快 一点 不卡顿 舒服 满意,商品3.csv
一直都是用红米手机，运行速度很快，很满意。,5,已购 黑色 12GB+256GB,方萍凤,168,一直都是用红米手机运行速度很快很满意,一直 红米 手机 运行 速度 很快 满意,商品3.csv
手机待机时间很长，充电速度很快，运行速度也很快，声音很好听，拍照非常清晰,5,已购 黑色 12GB+256GB,毛绒王者_开怀x801,169,手机待机时间很长充电速度很快运行速度也很快声音很好听拍照非常清晰,手机 待机时间 很长 充电 速度 很快 运行 速度 很快 声音 好听 拍照 非常 清晰,商品3.csv
质量很好，非常满意。速度快，上网流畅，不刺眼，确实很好,5,已购 黑色 12GB+256GB,137jdbellcmctx,170,质量很好非常满意速度快上网流畅不刺眼确实很好,质量 非常 满意 速度 上网 流畅 刺眼 确实,商品3.csv
非常好，性价比高，很流畅,5,已购 黑色 16GB+1024GB,jd_5z75b9u6i1i5v3,171,非常好性价比高很流畅,非常 性价比 流畅,商品3.csv
性能方面更是没得说，运行速度超快，不管是日常多开软件，还是玩大型游戏，都丝滑流畅，一点卡顿都没有。,5,已购 白色 12GB+256GB,多***白,172,性能方面更是没得说运行速度超快不管是日常多开软件还是玩大型游戏都丝滑流畅一点卡顿都没有,性能 方面 更是 没得说 运行 速度 超快 不管 日常 多开 软件 还是 大型 游戏 流畅 一点 卡顿 没有,商品3.csv
手机运行速度很快，一直都是红米的钟爱者。,5,已购 黑色 12GB+256GB,老爸方秋发,173,手机运行速度很快一直都是红米的钟爱者,手机 运行 速度 很快 一直 红米 钟爱,商品3.csv
"以旧换新：非常好
外形外观：非常好
屏幕音效：非常好
拍照效果：非常好",5,已购 白色 12GB+256GB,16rq7c6eryg9la,174,"以旧换新非常好
外形外观非常好
屏幕音效非常好
拍照效果非常好",以旧换新 非常 外形 外观 非常 屏幕 音效 非常 拍照 效果 非常,商品3.csv
这个手机非常的好用拍照非常好看听音乐非常好听玩游戏非常顺畅性价比超高,5,已购 白色 12GB+256GB,j***Z,175,这个手机非常的好用拍照非常好看听音乐非常好听玩游戏非常顺畅性价比超高,这个 手机 非常 拍照 非常 好看 音乐 非常 好听 玩游戏 非常 顺畅 性价比 超高,商品3.csv
给家人买的，国补下来性价比很高值得推荐。,5,已购 黑色 12GB+256GB,小***调,176,给家人买的国补下来性价比很高值得推荐,家人 补下来 性价比 值得 推荐,商品3.csv
很好，电池容量大，屏幕大。,5,已购 黑色 12GB+256GB,u***3,177,很好电池容量大屏幕大,电池容量 大屏幕,商品3.csv
婆婆很喜欢！大小合适！,5,已购 樱花金 16GB+1024GB,j***y,178,婆婆很喜欢大小合适,婆婆 喜欢 大小 合适,商品3.csv
买给家人，喜欢长续航的,5,已购 白色 16GB+256GB,叶珊司,179,买给家人喜欢长续航的,家人 喜欢 续航,商品3.csv
这款手机外观特别好看，尤其是这个白色的正面屏占比非常大，用起来手感也不错，运行非常流畅，手感还是金属边框，用起来特别舒服，然后拍照特别不错，非常清晰，不管是前摄还是后摄，尤其是夜晚，感觉拍照也非常不错，然后，手机充电速度非常快，不到40多分钟就充满了，而且续航也非常足，使用一天都没有问题使用一天都没有问题，软件启动速度非常快，运行速度也快。,5,已购 白色 12GB+256GB,3dv13wok77dvrp,180,这款手机外观特别好看尤其是这个白色的正面屏占比非常大用起来手感也不错运行非常流畅手感还是金属边框用起来特别舒服然后拍照特别不错非常清晰不管是前摄还是后摄尤其是夜晚感觉拍照也非常不错然后手机充电速度非常快不到多分钟就充满了而且续航也非常足使用一天都没有问题使用一天都没有问题软件启动速度非常快运行速度也快,手机 外观 特别 好看 尤其 这个 白色 正面 非常 起来 手感 不错 运行 非常 流畅 手感 还是 金属 边框 起来 特别 舒服 然后 拍照 特别 不错 非常 清晰 不管 还是 后摄 尤其 夜晚 感觉 拍照 非常 不错 然后 手机 充电 速度 非常 不到 多分钟 充满 而且 续航 非常 使用 一天 没有 问题 使用 一天 没有 问题 软件 启动 速度 非常 运行 速度,商品3.csv
给妈妈买的，妈妈平时对手机要求不高，用了两天感觉很好很流畅，物美价廉啊！之前也是用的红米，处理器运行流畅。外观设计好看，屏幕色彩鲜艳且细腻，视觉效果极佳。拍照功能强大，成像清晰，满足日常拍照需求。电池续航能力强。整体操作流畅，用户体验良好，非常值得推荐。,5,已购 白色 12GB+256GB,b***w,181,给妈妈买的妈妈平时对手机要求不高用了两天感觉很好很流畅物美价廉啊之前也是用的红米处理器运行流畅外观设计好看屏幕色彩鲜艳且细腻视觉效果极佳拍照功能强大成像清晰满足日常拍照需求电池续航能力强整体操作流畅用户体验良好非常值得推荐,妈妈 妈妈 平时 手机 要求 不高用 两天 感觉 流畅 物美价廉 之前 红米 处理器 运行 流畅 外观设计 好看 屏幕 色彩鲜艳 细腻 视觉效果 极佳 拍照 功能强大 成像 清晰 满足 日常 拍照 需求 电池 续航 能力 整体 操作 流畅 用户 体验 良好 非常 值得 推荐,商品3.csv
到货很快，质感很棒骁龙8s Gen4处理器性能拉满，游戏帧率稳定丝滑。7550mAh大电池告别续航焦虑，一天一充，90W快充回血超快。金属中框+AG玻璃质感拉满，超窄边直屏清晰护眼，拍照、实用功能全在线，性价比无敌！,5,已购 白色 12GB+256GB,柠***8,182,到货很快质感很棒骁龙 处理器性能拉满游戏帧率稳定丝滑大电池告别续航焦虑一天一充快充回血超快金属中框玻璃质感拉满超窄边直屏清晰护眼拍照实用功能全在线性价比无敌,到货 很快 质感 很棒 骁龙 处理器 性能 拉满 游戏 稳定 丝滑大 电池 告别 续航 焦虑 一天 一充 快充 回血 超快 金属 中框 玻璃 质感 拉满 超窄 直屏 清晰 护眼 拍照 实用功能 在线 性价比 无敌,商品3.csv
机器当场签收，国补真给力，商家的货没有问题，新机器家人很满意。,5,已购 白色 16GB+256GB,2***n,183,机器当场签收国补真给力商家的货没有问题新机器家人很满意,机器 当场 签收 国补 真给力 商家 没有 问题 机器 家人 满意,商品3.csv
