评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
之前的手机用了好几年了，电池不行了，换了小米k80 ，这款手机用着很方便，性能也比较好，外观也很漂亮，电池非常持久，运动，生活很方便，感受活动很合适,5,已购 雪岩白 12GB+256GB,cqem113a4df3za,122,之前的手机用了好几年了电池不行了换了小米 这款手机用着很方便性能也比较好外观也很漂亮电池非常持久运动生活很方便感受活动很合适,之前 手机 好几年 电池 不行 小米 手机 方便 性能 比较 外观 很漂亮 电池 非常 持久 运动 生活 方便 感受 活动 合适,商品7.csv,1.0,正向
算是比较实惠价格，性能卓越的一款不算落伍的手机。普通用户用起来没任何问题。流畅，电池耐用。用一段时间再来追评。应该是不错的，附带的壳子把高颜值遮住了。,5,已购 汐月蓝 12GB+256GB,妞***爸,123,算是比较实惠价格性能卓越的一款不算落伍的手机普通用户用起来没任何问题流畅电池耐用用一段时间再来追评应该是不错的附带的壳子把高颜值遮住了,算是 比较 实惠 价格 性能 卓越 一款 不算 落伍 手机 普通用户 起来 任何 问题 流畅 电池 耐用 一段时间 再来 追评 应该 不错 附带 壳子 高颜值 遮住,商品7.csv,1.0,正向
不错，包装可以，用了一段时间了不卡，手机也不发烫，音质不错，耐摔，谢谢，操作简单，自拍好看像素画，颜值好看，手感舒服，不错，拍的照片好看,5,已购 玄夜黑 12GB+256GB,真姐姐呀,124,不错包装可以用了一段时间了不卡手机也不发烫音质不错耐摔谢谢操作简单自拍好看像素画颜值好看手感舒服不错拍的照片好看,不错 包装 可以 一段时间 不卡 手机 不发 音质 不错 谢谢 操作 简单 自拍 好看 像素 画颜值 好看 手感 舒服 不错 照片 好看,商品7.csv,0.9997,正向
买的第二个k80了，这个价位感觉最合适的机子。 手感有点分量，自带手机壳，比原来透明的那种要好很多。系统好用，换机方便。,5,已购 玄夜黑 12GB+256GB,71396nbt668c37,125,买的第二个了这个价位感觉最合适的机子 手感有点分量自带手机壳比原来透明的那种要好很多系统好用换机方便,第二个 这个 价位 感觉 最合适 机子 手感 有点 分量 自带 手机 原来 透明 那种 很多 系统 好用 换机 方便,商品7.csv,0.9917,正向
旧手机已经这样了，老人家没什么要求，只是刷刷短视频，k80足够了，除了不喜欢超声波指纹之外，没什么缺点。国补到手1485，价格还不错。,5,已购 玄夜黑 12GB+256GB,无***_,126,旧手机已经这样了老人家没什么要求只是刷刷短视频足够了除了不喜欢超声波指纹之外没什么缺点国补到手价格还不错,手机 已经 这样 老人家 没什么 要求 只是 刷刷 视频 足够 除了 喜欢 超声波 指纹 之外 没什么 缺点 国补 到手 价格 不错,商品7.csv,0.9976,正向
趁着双十一活动买的，非常划算的啊，这手机速度很快，虽然是一年前出的机器，但是性能足够，屏幕很顺滑，摸上去触感很好。色彩和声音也很不错，性价比是非常高的机型。推荐购买了。,5,已购 汐月蓝 16GB+256GB,jd_一闷,127,趁着双十一活动买的非常划算的啊这手机速度很快虽然是一年前出的机器但是性能足够屏幕很顺滑摸上去触感很好色彩和声音也很不错性价比是非常高的机型推荐购买了,趁着 双十 活动 非常 划算 手机 速度 很快 虽然 一年 前出 机器 但是 性能 足够 屏幕 顺滑 摸上去 触感 色彩 声音 不错 性价比 非常 机型 推荐 购买,商品7.csv,1.0,正向
"作为红米粉丝，从k30pro,k40,再到k80，都选择了红米，性价比高。配置也满足日常的使用需求，整体感觉还可以，就是最近系统优化的不算满意。要是能做着更优惠的活动就好了，送些外设",5,已购 山峦青 16GB+256GB,胖子在开心的购物,128,作为红米粉丝从再到都选择了红米性价比高配置也满足日常的使用需求整体感觉还可以就是最近系统优化的不算满意要是能做着更优惠的活动就好了送些外设,作为 红米 粉丝 选择 红米 性价比 配置 满足 日常 使用 需求 整体 感觉 可以 就是 最近 系统优化 不算 满意 要是 优惠 活动 送些 外设,商品7.csv,0.9998,正向
用了几天才来评价 K80操作流畅 颜色艳利 拍照清晰 外观时尚大方 电磁也耐用 亮屏10几个小时仍有余电 屏幕大小也刚刚好 值得购买,5,已购 汐月蓝 12GB+256GB,j***d,129,用了几天才来评价 操作流畅 颜色艳利 拍照清晰 外观时尚大方 电磁也耐用 亮屏几个小时仍有余电 屏幕大小也刚刚好 值得购买,几天 评价 操作 流畅 颜色 艳利 拍照 清晰 外观 时尚 大方 电磁 耐用 亮屏 几个 小时 有余 屏幕 大小 刚刚 值得 购买,商品7.csv,1.0,正向
"到货快，包装完好，实物与描述一致。
做工扎实，用料到位，手感好。
使用稳定，效果符合预期，无明显短板。
价格合理，同价位配置更优，值得入手。
售后响应及时，体验顺畅，愿意回购。",5,已购 玄夜黑 12GB+512GB,AHKY998,130,"到货快包装完好实物与描述一致
做工扎实用料到位手感好
使用稳定效果符合预期无明显短板
价格合理同价位配置更优值得入手
售后响应及时体验顺畅愿意回购",到货 包装 完好 实物 描述 一致 做工 扎实 用料 到位 手感 使用 稳定 效果 符合 预期 明显 短板 价格合理 同价位 配置 更优 值得 入手 售后 响应 及时 体验 顺畅 愿意 回购,商品7.csv,1.0,正向
颜值高，颜色很好看，汐月蓝，非常好，男女通用，大小合适，屏幕也不错，送一个手机壳，质量也很好。拍照清晰，充电速度快。,5,已购 汐月蓝 16GB+512GB,dingyuandu17,131,颜值高颜色很好看汐月蓝非常好男女通用大小合适屏幕也不错送一个手机壳质量也很好拍照清晰充电速度快,颜值 颜色 好看 汐月 非常 男女 通用 大小 合适 屏幕 不错 一个 手机 质量 拍照 清晰 充电 速度,商品7.csv,0.9999,正向
手机已经用上了，没办法拍手机的照片，50%的电好像用不了多久。充电器是90瓦的。颜值还是很高，运算速度还是比较快，操作起来还是比较流畅，自拍没有试过，但是拍视频还可以。,5,已购 玄夜黑 12GB+256GB,事事顺心一家亲,132,手机已经用上了没办法拍手机的照片的电好像用不了多久充电器是瓦的颜值还是很高运算速度还是比较快操作起来还是比较流畅自拍没有试过但是拍视频还可以,手机 已经 办法 手机 照片 好像 不了 多久 充电器 颜值 还是 运算 速度 还是 比较 操作 起来 还是 比较 流畅 自拍 没有 但是 视频 可以,商品7.csv,0.9642,正向
红米数字系列还是不错的，旗舰机的质感，比较水桶的配置，价格还比较合适，买来给家里老人用挺合适的。续航也不错，拍照也还行，比较满意。,5,已购 玄夜黑 16GB+256GB,小小白of,133,红米数字系列还是不错的旗舰机的质感比较水桶的配置价格还比较合适买来给家里老人用挺合适的续航也不错拍照也还行比较满意,红米 数字 系列 还是 不错 旗舰机 质感 比较 水桶 配置 价格 比较 合适 买来 家里 老人 合适 续航 不错 拍照 还行 比较满意,商品7.csv,1.0,正向
一直用小米K系列手机，价值实惠，相比其他品牌同等价位的配置较高，画面清晰，速度流畅，外形设计比较紧凑，拍照效果也有大大提升，总体感受不错。,5,已购 山峦青 16GB+512GB,心***脱,134,一直用小米系列手机价值实惠相比其他品牌同等价位的配置较高画面清晰速度流畅外形设计比较紧凑拍照效果也有大大提升总体感受不错,一直 小米 系列 手机 价值 实惠 相比 其他 品牌 同等 价位 配置 画面 清晰 速度 流畅 外形 设计 比较 紧凑 拍照 效果 大大 提升 总体 感受 不错,商品7.csv,1.0,正向
"手机收到两天了，用了感觉很好反应很快，全屏膜自带护眼功能，真的很好感觉这个价格买到很值。
使用颜色款式都喜欢，是第二次购买，对这家东西品质认可，态度满意，以后都这个牌子手机了，真的好用！",5,已购 山峦青 16GB+512GB,w***j,135,"手机收到两天了用了感觉很好反应很快全屏膜自带护眼功能真的很好感觉这个价格买到很值
使用颜色款式都喜欢是第二次购买对这家东西品质认可态度满意以后都这个牌子手机了真的好用",手机 收到 两天 感觉 反应 很快 全屏 自带 护眼 功能 真的 感觉 这个 价格 买到 很值 使用 颜色 款式 喜欢 第二次 购买 这家 东西 品质 认可 态度 满意 以后 这个 牌子 手机 真的 好用,商品7.csv,0.9999,正向
手机收到用了几天来评价，身机用的网络顺滑画质很不错，音质也可以，就是玩游戏手机有点发烫，电池一天光刷抖音刚好，玩游戏就要充两回电。,5,已购 玄夜黑 12GB+512GB,j***c,136,手机收到用了几天来评价身机用的网络顺滑画质很不错音质也可以就是玩游戏手机有点发烫电池一天光刷抖音刚好玩游戏就要充两回电,手机 收到 几天 评价 身机用 网络 顺滑 画质 不错 音质 可以 就是 玩游戏 手机 有点 发烫 电池 一天 光刷 抖音 刚好 玩游戏 就要 两回,商品7.csv,0.8837,正向
东西很好，很方便。16加256，1699。还要给父亲用。主要是看中芯片还可以，多用两年。2019年买的Note7Pro已经完全用不动了。希望这个手机能够再用6年。,5,已购 玄夜黑 16GB+256GB,唐先生3028,137,东西很好很方便加还要给父亲用主要是看中芯片还可以多用两年年买的已经完全用不动了希望这个手机能够再用年,东西 方便 还要 父亲 主要 看中 芯片 可以 多用 两年 已经 完全 用不动 希望 这个 手机 能够 再用,商品7.csv,0.9963,正向
双11活动买价格还是很合适的，性价比很高，爸爸很久没换手机了，这次一次到位直接买512g内存的，对平常工作来说功能也都足够了，现在还是很顺畅的。,5,已购 玄夜黑 12GB+512GB,jd_130432glr,138,双活动买价格还是很合适的性价比很高爸爸很久没换手机了这次一次到位直接买内存的对平常工作来说功能也都足够了现在还是很顺畅的,活动 价格 还是 合适 性价比 爸爸 很久没 手机 这次 一次 到位 直接 内存 平常 工作 来说 功能 足够 现在 还是 顺畅,商品7.csv,1.0,正向
买第二部了，二个老人全是REDM K80，相当丝滑，老人很满意，用着顺手，屏幕也大，很适合老人用，多年的米粉，质量没的说！,5,已购 玄夜黑 12GB+256GB,jd_emmeli,139,买第二部了二个老人全是 相当丝滑老人很满意用着顺手屏幕也大很适合老人用多年的米粉质量没的说,第二部 二个 老人 全是 相当 丝滑 老人 满意 顺手 屏幕 适合 老人 多年 米粉 质量,商品7.csv,0.9942,正向
送的原装壳手感不错，是跟机子同色系的深灰蓝色，盒子上写的日期是26年1月不知道是机子日期还是盒子日期，到手先升级了两次系统，还没充电，感觉还行,5,已购 汐月蓝 12GB+256GB,ax49d11gh4sr6i,140,送的原装壳手感不错是跟机子同色系的深灰蓝色盒子上写的日期是年月不知道是机子日期还是盒子日期到手先升级了两次系统还没充电感觉还行,原装 手感 不错 机子 同色系 深灰 蓝色 盒子 日期 知道 机子 日期 还是 盒子 日期 到手 升级 两次 系统 充电 感觉,商品7.csv,0.112,负向
颜值高，速度快，就是成电是90的，不算大，电池现在挺好用，外观颜色也可以，性价比高，枸杞不知道会不会耐用，一些,5,已购 山峦青 12GB+256GB,j***6,141,颜值高速度快就是成电是的不算大电池现在挺好用外观颜色也可以性价比高枸杞不知道会不会耐用一些,颜值 高速度 就是 成电 不算 电池 现在 挺好用 外观 颜色 可以 性价比 枸杞 知道 不会 耐用 一些,商品7.csv,0.9989,正向
红米k80外观还是可以的 ，我是看中2k分辨率的屏幕才买的，骁龙处理器的处理器虽然相差了二代了，但价格便宜，性价比很高，用个二三年应该没有问题,5,已购 雪岩白 16GB+256GB,o4bh9g0s56vy9v,142,红米外观还是可以的 我是看中分辨率的屏幕才买的骁龙处理器的处理器虽然相差了二代了但价格便宜性价比很高用个二三年应该没有问题,红米 外观 还是 可以 看中 分辨率 屏幕 骁龙 处理器 处理器 虽然 相差 二代 价格便宜 性价比 高用 二三年 应该 没有 问题,商品7.csv,0.9999,正向
给妈妈买的生日礼物，之前哪款红米用了好几年了。主要是内存太小了所以果断换了这款k80，首先是性能上还是不错，而且价格上不超过二千也能接受，手感也挺好的。,5,已购 汐月蓝 12GB+256GB,南国破天,143,给妈妈买的生日礼物之前哪款红米用了好几年了主要是内存太小了所以果断换了这款首先是性能上还是不错而且价格上不超过二千也能接受手感也挺好的,妈妈 生日礼物 之前 哪款 红米 好几年 主要 内存 太小 所以 果断 这款 首先 性能 还是 不错 而且 价格 超过 二千 接受 手感,商品7.csv,0.9964,正向
手机待机时间长了，基本都是2天一冲，半个小时就充满了。屏幕柔和，不刺眼，手感不错。价格美丽，可以入手不后悔,5,已购 雪岩白 12GB+256GB,b***u,144,手机待机时间长了基本都是天一冲半个小时就充满了屏幕柔和不刺眼手感不错价格美丽可以入手不后悔,手机 待机时间 基本 天一 半个 小时 充满 屏幕 柔和 刺眼 手感 不错 价格 美丽 可以 入手 后悔,商品7.csv,0.9888,正向
手机性价比很高，屏幕色彩亮丽，清晰度高，外观也好看，自拍好看，充电半小时就可充满，充电超级快，待机时间长，手感舒适。非常推荐。,5,已购 山峦青 12GB+256GB,沉默的水晶,145,手机性价比很高屏幕色彩亮丽清晰度高外观也好看自拍好看充电半小时就可充满充电超级快待机时间长手感舒适非常推荐,手机 性价比 屏幕 色彩 亮丽 清晰度 外观 好看 自拍 好看 充电 半小时 充满 充电 超级 待机时间 手感 舒适 非常 推荐,商品7.csv,1.0,正向
挺好的，价位也可以接受，给老人买的，够用了，很流畅，性价比高，充电快，对拍照要求不高，可以了，杠杠的,5,已购 雪岩白 12GB+256GB,赤***树,146,挺好的价位也可以接受给老人买的够用了很流畅性价比高充电快对拍照要求不高可以了杠杠的,价位 可以 接受 老人 够用 流畅 性价比 充电 拍照 要求 不高 可以 杠杠,商品7.csv,1.0,正向
之前用的是华为手机，这次孩子推荐购买红米手机。这款手机颜值高，待机时间长，一整天都不用充电，手机也不卡顿，运行速度快，很喜欢。,5,已购 汐月蓝 12GB+256GB,j***d,147,之前用的是华为手机这次孩子推荐购买红米手机这款手机颜值高待机时间长一整天都不用充电手机也不卡顿运行速度快很喜欢,之前 华为 手机 这次 孩子 推荐 购买 红米 手机 手机 颜值 待机时间 一整天 不用 充电 手机 不卡顿 运行 速度 喜欢,商品7.csv,1.0,正向
红米k80的这款手机，性价比还是不错的。拍照清晰操作顺畅，充电速度也够快。就是不知道为什么指纹解锁有时候会出问题。以旧换新有点骗人，按实际情况提报的旧手机估价个上门来出的价格差很多，还不如实体店给的价格。,5,已购 汐月蓝 16GB+1TB,j***o,148,红米的这款手机性价比还是不错的拍照清晰操作顺畅充电速度也够快就是不知道为什么指纹解锁有时候会出问题以旧换新有点骗人按实际情况提报的旧手机估价个上门来出的价格差很多还不如实体店给的价格,红米 这款 手机 性价比 还是 不错 拍照 清晰 操作 顺畅 充电 速度 够快 就是 知道 为什么 指纹 解锁 有时候 会出 问题 以旧换新 有点 骗人 实际 情况 提报 手机 估价 上门来 价格 很多 不如 实体店 价格,商品7.csv,0.8463,正向
这款Redmi K80真香！外观简洁大气，手感舒适，系统流畅不卡顿。家人用了都说好，续航给力，拍照清晰。物流快，包装严实，客服态度也超赞～👍📱✨✨,5,已购 玄夜黑 12GB+512GB,x***h,149,这款 真香外观简洁大气手感舒适系统流畅不卡顿家人用了都说好续航给力拍照清晰物流快包装严实客服态度也超赞,真香 外观 简洁 大气 手感 舒适 系统 流畅 不卡顿 家人 说好 续航 给力 拍照 清晰 物流 包装 严实 客服 态度 超赞,商品7.csv,1.0,正向
收到货了，手机手感好，特别丝滑，手机膜紧挨着手机壳尺寸正好太完美了，客服也专业回复快，解答问题很耐心，太满意了!,5,已购 雪岩白 16GB+256GB,d***鹿,150,收到货了手机手感好特别丝滑手机膜紧挨着手机壳尺寸正好太完美了客服也专业回复快解答问题很耐心太满意了,收到 手机 手感 特别 丝滑 手机 挨着 手机 尺寸 正好 完美 客服 专业 回复 解答 问题 耐心 满意,商品7.csv,0.2476,负向
颜值不错，蛮大方的。配置也对得起这个价格，反应速度很快，同时运行几个APP都没问题，运行平稳，内存容量也够用。,5,已购 山峦青 16GB+256GB,可春可秋,151,颜值不错蛮大方的配置也对得起这个价格反应速度很快同时运行几个都没问题运行平稳内存容量也够用,颜值 不错 大方 配置 对得起 这个 价格 反应速度 很快 同时 运行 几个 问题 运行 平稳 内存容量 够用,商品7.csv,1.0,正向
这款手机自拍很好看，拍照很清晰，屏幕色彩也是非常的鲜艳，软件启动的也非常的快，屏幕也很大，字体也非常的大，当然也可以调节，声音也很很好，嗯，所以整体是非常满意的,5,已购 玄夜黑 12GB+256GB,观***峰,152,这款手机自拍很好看拍照很清晰屏幕色彩也是非常的鲜艳软件启动的也非常的快屏幕也很大字体也非常的大当然也可以调节声音也很很好嗯所以整体是非常满意的,手机 自拍 好看 拍照 清晰 屏幕 色彩 非常 鲜艳 软件 启动 非常 屏幕 很大 字体 非常 当然 可以 调节 声音 所以 整体 非常 满意,商品7.csv,0.9998,正向
京东买东西送货还是很快，第二天就送到家了。宝贝品质和质量都不错，今天弄好小米换机还是很好用，新手机用起来运行速度很快，使用很方便。,5,已购 汐月蓝 12GB+512GB,a30lbnfobg9a9h,153,京东买东西送货还是很快第二天就送到家了宝贝品质和质量都不错今天弄好小米换机还是很好用新手机用起来运行速度很快使用很方便,京东 东西 送货 还是 很快 第二天 送到 宝贝 品质 质量 不错 今天 小米 换机 还是 新手机 起来 运行 速度 很快 使用 方便,商品7.csv,1.0,正向
软件启动很快，阳光下看得清楚，手感舒适度也非常好，颜值呢非常高开马铃去热得蜜当中，性价比最高的不用k90 没什么区别，堪称家用天花板挑象手机推荐去跟小米15 区别就是像素没有拍照有区别。小米手机中性价比最高的也就是k80 了,5,已购 山峦青 16GB+1TB,江苏百团科技,154,软件启动很快阳光下看得清楚手感舒适度也非常好颜值呢非常高开马铃去热得蜜当中性价比最高的不用 没什么区别堪称家用天花板挑象手机推荐去跟小米 区别就是像素没有拍照有区别小米手机中性价比最高的也就是 了,软件 启动 很快 阳光 清楚 手感 舒适度 非常 好颜值 非常 高开 马铃 热得蜜 当中 性价比 最高 不用 没什么 区别 堪称 家用 天花板 挑象 手机 推荐 小米 区别 就是 像素 没有 拍照 区别 小米 手机 性价比 最高 就是,商品7.csv,1.0,正向
这款K80手机质量很好，外观也很对尚，拍照效果很不错，电池也很耐用，使用起来非常流畅，己用了一段时间了，很满意！,5,已购 玄夜黑 12GB+512GB,jd_4d7o7l6y8i5115,156,这款手机质量很好外观也很对尚拍照效果很不错电池也很耐用使用起来非常流畅己用了一段时间了很满意,手机 质量 外观 拍照 效果 不错 电池 耐用 使用 起来 非常 流畅 己用 一段时间 满意,商品7.csv,1.0,正向
小米k80这台手机在当前非常合适，虽然现在最新的是k90，但是90比80升级的不多，80价格优惠很多，最优惠的时候13开头给我妈买了一台，现在另一个家人手机坏了，赶紧再买一台，可惜要16开头了。,5,已购 雪岩白 12GB+256GB,萧竹00薛,158,小米这台手机在当前非常合适虽然现在最新的是但是比升级的不多价格优惠很多最优惠的时候开头给我妈买了一台现在另一个家人手机坏了赶紧再买一台可惜要开头了,小米 这台 手机 当前 非常 合适 虽然 现在 最新 但是 升级 价格 优惠 很多 优惠 时候 开头 一台 现在 一个 家人 手机 赶紧 一台 可惜 开头,商品7.csv,0.9766,正向
可以，目前没有什么问题。,3,已购 玄夜黑 12GB+256GB,5***6,159,可以目前没有什么问题,可以 目前 没有 什么 问题,商品7.csv,0.5262,中性
红米k80这手机用了一段时间了，还不错，蛮流畅的，各方面都没有问题。红米系列用过了几部，性价比都很高。选了黑色，特显沉稳，很喜欢！,5,已购 玄夜黑 16GB+256GB,小***葵,160,红米这手机用了一段时间了还不错蛮流畅的各方面都没有问题红米系列用过了几部性价比都很高选了黑色特显沉稳很喜欢,红米 手机 一段时间 不错 流畅 方面 没有 问题 红米 系列 用过 几部 性价比 高选 黑色 特显 沉稳 喜欢,商品7.csv,1.0,正向
外观漂亮，上手感觉也不错。丝滑度非常流畅，内存是256g的，够用了。整体用着很舒服，下次还会回购小米。,5,已购 山峦青 12GB+256GB,芒果小福,161,外观漂亮上手感觉也不错丝滑度非常流畅内存是的够用了整体用着很舒服下次还会回购小米,外观 漂亮 感觉 不错 丝滑度 非常 流畅 内存 够用 整体 舒服 下次 还会 回购 小米,商品7.csv,1.0,正向
红米手机宛如科技宝藏!外观精致，色彩靓丽。系统搭载澎湃系统与狂暴引擎，操作顺滑、游戏流畅。大容量存储随心用，售后贴心超放心，值得拥有👍,5,已购 汐月蓝 12GB+256GB,absgtr,162,红米手机宛如科技宝藏外观精致色彩靓丽系统搭载澎湃系统与狂暴引擎操作顺滑游戏流畅大容量存储随心用售后贴心超放心值得拥有,红米 手机 宛如 科技 宝藏 外观 精致 色彩 靓丽 系统 搭载 澎湃 系统 狂暴 引擎 操作 顺滑 游戏 流畅 大容量 存储 随心 售后 贴心 放心 值得 拥有,商品7.csv,1.0,正向
K80用了一周彻底被圈粉！性能续航双王炸，日常使用丝滑省心。轻薄机身手感意外的好，拍照色彩很讨喜。两千档价位能给的全给了，年度真香机无疑！,5,已购 玄夜黑 12GB+256GB,rekoba,163,用了一周彻底被圈粉性能续航双王炸日常使用丝滑省心轻薄机身手感意外的好拍照色彩很讨喜两千档价位能给的全给了年度真香机无疑,一周 彻底 圈粉 性能 续航 双王炸 日常 使用 丝滑 省心 轻薄 机身 手感 意外 拍照 色彩 讨喜 两千 价位 全给 年度 真香机 无疑,商品7.csv,1.0,正向
红米手机，大品牌，值得信赖！价格实惠，性价比高，做工精细，运行速度杠杠的，满意！京东购物就是放心，发货速度快，服务态度好，送货上门，棒棒哒！！,5,已购 汐月蓝 12GB+256GB,忆***梗,164,红米手机大品牌值得信赖价格实惠性价比高做工精细运行速度杠杠的满意京东购物就是放心发货速度快服务态度好送货上门棒棒哒,红米 手机 品牌 值得 信赖 价格 实惠 性价比 做工 精细 运行 速度 杠杠 满意 京东 购物 就是 放心 发货 速度 服务态度 送货上门 棒棒,商品7.csv,1.0,正向
红米K80手机到手，配置拉满很流畅，同价位性价比很高。外观中规中矩，金属中框和玻璃后壳手感很好，个人感觉后摄像头模组不如K70好看。,5,已购 汐月蓝 12GB+256GB,s***v,165,红米手机到手配置拉满很流畅同价位性价比很高外观中规中矩金属中框和玻璃后壳手感很好个人感觉后摄像头模组不如好看,红米 手机 到手 配置 拉满 流畅 同价位 性价比 外观 中规中矩 金属 中框 玻璃 后壳 手感 个人感觉 摄像头 模组 不如 好看,商品7.csv,1.0,正向
挺好用的，操作流畅，屏幕大清晰，电池容量大，很好，还是很不错，性价比高，真心不错不错，相信京东的品质，物流很快，送货上门人员态度很好,5,已购 汐月蓝 16GB+256GB,e***6,166,挺好用的操作流畅屏幕大清晰电池容量大很好还是很不错性价比高真心不错不错相信京东的品质物流很快送货上门人员态度很好,挺好用 操作 流畅 屏幕 清晰 电池容量 还是 不错 性价比 真心 不错 不错 相信 京东 品质 物流 很快 送货上门 人员 态度,商品7.csv,1.0,正向
"屏幕音效：很清晰，反应也很快
拍照效果：很快，很清晰
运行速度：很快，现在手机处理器真心不错，约来约快，一点都不卡顿",5,已购 雪岩白 12GB+256GB,p***6,167,"屏幕音效很清晰反应也很快
拍照效果很快很清晰
运行速度很快现在手机处理器真心不错约来约快一点都不卡顿",屏幕 音效 清晰 反应 很快 拍照 效果 很快 清晰 运行 速度 很快 现在 手机 处理器 真心 不错 一点 不卡顿,商品7.csv,1.0,正向
手机很漂亮，运行非常流畅，显示很清晰，电池容量大充电速度快，拍照也是很不错的，价钱很便宜，性价比很高。,5,已购 雪岩白 12GB+256GB,去***8,168,手机很漂亮运行非常流畅显示很清晰电池容量大充电速度快拍照也是很不错的价钱很便宜性价比很高,手机 很漂亮 运行 非常 流畅 显示 清晰 电池容量 充电 速度 拍照 不错 价钱 便宜 性价比,商品7.csv,1.0,正向
活动价1900多到手。手机挺重的，性价比可以，电池玩一天没问题。送了个哑光的手机壳，用不习惯，就自己买了个透明的。,5,已购 玄夜黑 12GB+512GB,b***t,169,活动价多到手手机挺重的性价比可以电池玩一天没问题送了个哑光的手机壳用不习惯就自己买了个透明的,活动 价多 到手 手机 挺重 性价比 可以 电池 一天 问题 哑光 手机 习惯 自己 透明,商品7.csv,0.1696,负向
红米K80质量特别好，红米手机性价比超高，正好双十一活动力度很大，加上国补，果断出手，系统流畅，手感丝滑，正式不错的宝贝。,5,已购 玄夜黑 12GB+512GB,lida410608,170,红米质量特别好红米手机性价比超高正好双十一活动力度很大加上国补果断出手系统流畅手感丝滑正式不错的宝贝,红米 质量 特别 好红米 手机 性价比 超高 正好 双十 活动 力度 很大 加上 国补 果断 出手 系统 流畅 手感 丝滑 正式 不错 宝贝,商品7.csv,1.0,正向
现在买红米k80的时机很好，性价比很高，正好是九零刚换代不久的时候，前一代顺势降价，对于我而言，绝对是大大的够用了。黑色典雅大气，外观一级棒。,5,已购 玄夜黑 12GB+256GB,j***8,171,现在买红米的时机很好性价比很高正好是九零刚换代不久的时候前一代顺势降价对于我而言绝对是大大的够用了黑色典雅大气外观一级棒,现在 买红米 时机 性价比 正好 九零 换代 不久 时候 一代 顺势 降价 对于 而言 绝对 大大的 够用 黑色 典雅 大气 外观 一级,商品7.csv,1.0,正向
系统功能贴心实用，跨端互联便捷高效，快充补能迅速，影像覆盖全场景，千元机也有旗舰级体验。性能释放稳定，久用不卡,5,已购 玄夜黑 16GB+256GB,伊凡321,172,系统功能贴心实用跨端互联便捷高效快充补能迅速影像覆盖全场景千元机也有旗舰级体验性能释放稳定久用不卡,系统 功能 贴心 实用 跨端 互联 便捷 高效 快充 补能 迅速 影像 覆盖 场景 千元 旗舰级 体验 性能 释放 稳定 久用 不卡,商品7.csv,1.0,正向
"给妈妈买的生日礼物之前红米用了好几年了。主要是内存太小了所以果断换了这款k80,首先是性能上是不错，而且价格上也能接受,手感也挺好的。",5,已购 汐月蓝 16GB+512GB,最***c,174,给妈妈买的生日礼物之前红米用了好几年了主要是内存太小了所以果断换了这款首先是性能上是不错而且价格上也能接受手感也挺好的,妈妈 生日礼物 之前 红米 好几年 主要 内存 太小 所以 果断 这款 首先 性能 不错 而且 价格 接受 手感,商品7.csv,0.9991,正向
这款手机的外观设计简洁大方，屏幕显示清晰，拍照效果一流，运行速度飞快，电池续航持久，性价比超高，绝对值得入手！[拇指向上],5,已购 玄夜黑 12GB+512GB,小***5,175,这款手机的外观设计简洁大方屏幕显示清晰拍照效果一流运行速度飞快电池续航持久性价比超高绝对值得入手拇指向上,手机 外观设计 简洁 大方 屏幕显示 清晰 拍照 效果 一流 运行 速度 飞快 电池 续航 持久 性价比 超高 绝对 值得 入手 拇指 向上,商品7.csv,1.0,正向
给家里父母换的红米K80手机，之前用的K60，国家补贴价格也不错，15OO多的，品质和K60一样，很实用，屏幕很好，2K屏幕。看东西不费眼。推荐。,5,已购 玄夜黑 12GB+256GB,j***6,176,给家里父母换的红米手机之前用的国家补贴价格也不错多的品质和一样很实用屏幕很好屏幕看东西不费眼推荐,家里 父母 红米 手机 之前 国家补贴 价格 不错 品质 一样 实用 屏幕 屏幕 东西 费眼 推荐,商品7.csv,0.9894,正向
朋友推荐购买的手机，性价比比较高。刚开始用，暂时没有发现卡顿的情况，手感对于女生来说，有点大。可能男孩子比较合适。,5,已购 雪岩白 16GB+1TB,j***6,177,朋友推荐购买的手机性价比比较高刚开始用暂时没有发现卡顿的情况手感对于女生来说有点大可能男孩子比较合适,朋友 推荐 购买 手机 性价比 比较 高刚 开始 暂时 没有 发现 卡顿 情况 手感 对于 女生 来说 有点 可能 男孩子 比较 合适,商品7.csv,0.9619,正向
不错很薄 手机很实用，轻重刚好 送来很快拍照清晰性能也可以，不错的，容量很大，正品512g很适合，装备牛，,5,已购 玄夜黑 12GB+512GB,柿子ww459,178,不错很薄 手机很实用轻重刚好 送来很快拍照清晰性能也可以不错的容量很大正品很适合装备牛,不错 手机 实用 轻重 刚好 送来 很快 拍照 清晰 性能 可以 不错 容量 很大 正品 适合 装备,商品7.csv,1.0,正向
